20220217 014500;14581;14581.75;14578.75;14578.75;75
20220217 014600;14579;14580.75;14574.25;14574.5;181
20220217 014700;14574.5;14574.5;14567;14570.25;448
20220217 014800;14570;14575.75;14569.75;14575.5;221
20220217 014900;14575.25;14579.5;14570.5;14579.25;232
20220217 015000;14578.75;14582;14574.25;14575.75;395
20220217 015100;14575.25;14575.75;14572.25;14573.25;172
20220217 015200;14572.75;14576.25;14572.5;14575.25;118
20220217 015300;14574.75;14575;14568.5;14572.25;412
20220217 015400;14572.75;14575.5;14572;14574;119
20220217 015500;14573.75;14577.25;14573;14576.25;123
20220217 015600;14576.25;14578.25;14575.5;14576.75;140
20220217 015700;14577;14577.75;14574.75;14577;101
20220217 015800;14576.75;14579;14576.25;14576.5;123
20220217 015900;14576.5;14578.75;14575;14575.25;128
20220217 020000;14575.75;14577.5;14575.75;14576.75;80
20220217 020100;14576.25;14585.75;14574.25;14585;501
20220217 020200;14584.75;14585.5;14581.75;14585;250
20220217 020300;14584.75;14591.5;14584.25;14589;622
20220217 020400;14589.25;14593;14587.75;14592.25;274
20220217 020500;14592.5;14593;14588.75;14591.5;281
20220217 020600;14591.75;14596.25;14588.75;14589;451
20220217 020700;14589.25;14589.25;14584.5;14587;236
20220217 020800;14587;14587.5;14583.25;14584.25;179
20220217 020900;14584.75;14587;14584;14585.25;126
20220217 021000;14585;14585.5;14583.25;14585.25;103
20220217 021100;14585.25;14588;14584.75;14586.5;107
20220217 021200;14586.75;14591.25;14586.75;14590.25;165
20220217 021300;14590;14593;14589.75;14590.5;170
20220217 021400;14590.75;14594.5;14590.5;14590.75;189
20220217 021500;14591.25;14591.25;14589.25;14590.75;74
20220217 021600;14590.75;14593.75;14590.5;14591;127
20220217 021700;14590.5;14592;14589.25;14590.25;86
20220217 021800;14590;14591.25;14589.25;14591.25;95
20220217 021900;14591.25;14592.5;14587.5;14591;128
20220217 022000;14590.75;14593.5;14590.25;14591.25;104
20220217 022100;14591;14592;14589.5;14590.75;110
20220217 022200;14590.5;14591;14587.25;14589;122
20220217 022300;14589;14590;14587.25;14589.25;82
20220217 022400;14589.25;14589.5;14587;14589.25;116
20220217 022500;14589.25;14589.75;14586.75;14589;100
20220217 022600;14588.75;14590.5;14588.25;14589.25;78
20220217 022700;14589.75;14590.5;14589;14590;63
20220217 022800;14590;14592;14589.75;14590.5;119
20220217 022900;14590.25;14590.75;14588.5;14590.75;83
20220217 023000;14591;14591.75;14590.25;14590.5;68
20220217 023100;14590.75;14591;14586.75;14589.75;184
20220217 023200;14590;14590;14585.25;14587;164
20220217 023300;14587;14588;14586.25;14587.25;67
20220217 023400;14587;14588.75;14586;14586.25;151
20220217 023500;14586.25;14588.5;14585.5;14587.75;115
20220217 023600;14587.25;14590;14587.25;14589;95
20220217 023700;14589;14591;14588.75;14588.75;108
20220217 023800;14588.5;14590.75;14588.25;14588.5;81
20220217 023900;14588.75;14589.25;14587.25;14588;55
20220217 024000;14588.25;14589;14586;14588.75;96
20220217 024100;14588.75;14591.75;14587.5;14591.25;112
20220217 024200;14591.25;14593.75;14590.5;14592;184
20220217 024300;14591.75;14592;14588;14589.75;90
20220217 024400;14589.25;14589.25;14587.5;14588;75
20220217 024500;14588;14590;14587;14587.25;86
20220217 024600;14586.75;14589;14586.75;14588.75;69
20220217 024700;14589;14589.25;14588;14589;34
20220217 024800;14588.75;14589;14585.75;14586;65
20220217 024900;14586.25;14587.5;14584;14587.5;153
20220217 025000;14587;14587.75;14585.5;14587.75;37
20220217 025100;14587.75;14588.5;14587;14588;58
20220217 025200;14588;14591.25;14588;14590.25;60
20220217 025300;14590;14590.25;14588.75;14589.25;18
20220217 025400;14589;14589.75;14588.75;14589.75;27
20220217 025500;14590.25;14592.5;14590.25;14590.75;102
20220217 025600;14590.75;14593.5;14590.25;14591.75;120
20220217 025700;14592.25;14592.5;14591.25;14591.5;35
20220217 025800;14591.75;14592.75;14590.75;14592.5;64
20220217 025900;14592.5;14595.5;14592.25;14594.75;183
20220217 030000;14594.75;14595.5;14592.25;14593.75;107
20220217 030100;14593.75;14594.75;14593.25;14594;132
20220217 030200;14594.75;14595;14593.5;14593.5;44
20220217 030300;14593.25;14593.5;14591.75;14592.75;73
20220217 030400;14592.75;14592.75;14590.25;14592.25;71
20220217 030500;14592;14592.5;14590.75;14592.25;47
20220217 030600;14592;14595.25;14592;14594.25;73
20220217 030700;14593.75;14594;14591.25;14591.75;38
20220217 030800;14592;14592.5;14590.5;14592;61
20220217 030900;14592.5;14594.25;14592.25;14593.25;63
20220217 031000;14593;14594.5;14591.75;14594;80
20220217 031100;14594.25;14595.25;14594;14595;71
20220217 031200;14594.5;14598.25;14594.5;14596.5;220
20220217 031300;14597;14598.5;14595.25;14596.75;250
20220217 031400;14596.5;14599.25;14596.25;14598;167
20220217 031500;14598.5;14600.25;14597.5;14598;335
20220217 031600;14598.25;14598.5;14597;14597.75;87
20220217 031700;14597.75;14597.75;14595.25;14597.25;107
20220217 031800;14597.75;14599.5;14596.75;14598.75;107
20220217 031900;14599.5;14599.5;14597.75;14598.5;52
20220217 032000;14598.75;14599;14598;14598.25;61
20220217 032100;14598.25;14598.75;14597.75;14597.75;32
20220217 032200;14597.25;14597.5;14595;14596.75;134
20220217 032300;14596.5;14597.25;14595.5;14597.25;48
20220217 032400;14596.5;14597.5;14596;14596.5;119
20220217 032500;14596.5;14596.5;14593.5;14594;202
20220217 032600;14594.25;14596;14594;14595.5;56
20220217 032700;14595.75;14596.5;14595.25;14595.25;51
20220217 032800;14595.5;14596;14594;14594.25;91
20220217 032900;14594.5;14595.25;14594.5;14595;45
20220217 033000;14594.75;14596.5;14594.75;14596.25;35
20220217 033100;14596;14597.75;14594.25;14594.5;118
20220217 033200;14594.75;14595.75;14593.25;14594;103
20220217 033300;14593.75;14593.75;14592;14593.25;102
