No,Ticker,MarketCap,PE,FwdPE,PEG,PS,PB,PC,PFCF,EPSthisY,EPSnextY,EPSpast5Y,EPSnext5Y,Salespast5Y,Price,Change,Volume
59,BDX,77.13B,46.48,19.24,5.11,3.87,3.17,40.36,46.77,152.40%,8.08%,8.80%,9.10%,10.20%,271.31,0.90%,"385,888"
60,BEN,15.64B,8.03,7.94,2.19,1.81,1.29,3.44,33.27,124.60%,1.11%,4.00%,3.67%,4.90%,31.15,2.47%,"717,077"
61,BF-B,31.01B,41.59,34.80,3.93,8.56,10.88,28.90,67.41,9.10%,14.26%,-2.10%,10.59%,2.30%,66.41,0.06%,"488,048"
62,BIIB,32.27B,20.60,13.18,-,2.94,2.88,8.49,8.91,-58.10%,5.38%,-9.30%,-9.20%,-0.80%,216.27,1.01%,"298,207"
63,BIO,18.46B,4.43,38.86,0.25,6.31,1.21,13.80,31.47,116.60%,7.97%,101.00%,17.80%,4.70%,621.77,0.13%,"142,518"
64,BK,51.69B,15.54,10.65,1.23,17.12,1.33,0.26,-,-15.10%,21.21%,7.20%,12.65%,4.30%,62.37,1.46%,"2,355,086"
65,BKNG,108.60B,283.92,25.62,-,11.78,18.85,8.93,63.99,-98.90%,132.14%,-52.20%,-,-5.90%,2627.19,3.20%,"260,603"
66,BKR,27.86B,-,16.64,-,1.36,1.44,6.44,57.56,2200.00%,35.36%,-27.10%,50.90%,5.60%,28.68,0.51%,"3,119,138"
67,BLK,116.36B,19.90,16.02,1.57,6.01,3.14,15.81,74.88,12.10%,11.60%,10.00%,12.66%,7.30%,782.51,2.92%,"263,468"
68,BLL,29.96B,34.82,19.51,2.36,2.17,8.12,20.72,141.34,1.10%,16.13%,11.10%,14.78%,8.10%,92.38,0.10%,"446,584"
69,BMY,144.82B,21.42,8.06,4.28,3.12,4.09,8.54,13.36,178.00%,6.38%,3.30%,5.00%,19.00%,67.55,1.11%,"9,588,881"
70,BR,17.13B,31.70,20.53,2.69,3.19,9.66,60.91,110.78,17.60%,9.65%,12.90%,11.80%,11.50%,147.26,1.67%,"438,115"
71,BRK-B,763.70B,-,24.63,-,2.84,0.00,-,-,28.40%,8.50%,-,23.30%,-,315.82,0.49%,"1,574,553"
72,BRO,19.24B,32.15,25.85,2.43,6.51,4.44,20.08,31.28,20.10%,9.11%,14.70%,13.22%,9.50%,66.83,1.29%,"429,798"
73,BSX,61.79B,62.29,21.34,3.86,5.20,3.70,31.74,33.33,-119.10%,13.36%,14.60%,16.15%,5.80%,43.99,2.95%,"3,833,305"
74,BWA,10.41B,13.28,9.19,0.44,0.69,1.53,6.91,10.70,-37.10%,21.10%,-1.80%,30.25%,4.80%,45.22,5.75%,"2,001,167"
75,BXP,17.94B,36.90,33.21,5.27,6.21,3.20,17.90,51.40,68.00%,14.65%,8.30%,7.00%,2.10%,120.48,3.02%,"395,069"
76,C,132.56B,6.59,8.17,0.97,2.63,0.73,0.13,9.46,-41.10%,7.41%,-2.70%,6.83%,-0.20%,67.29,1.24%,"7,885,918"
77,CAG,16.57B,15.50,13.25,9.34,1.48,1.95,241.17,105.13,54.90%,8.78%,59.30%,1.66%,5.20%,35.37,0.18%,"1,383,564"
78,CAH,14.56B,27.36,8.83,5.36,0.08,14.61,4.61,26.42,116.50%,11.82%,-13.60%,5.10%,6.00%,53.48,2.28%,"1,044,539"
79,CARR,39.71B,23.96,17.51,2.00,1.93,5.73,13.29,26.90,-17.00%,12.05%,-,12.01%,-,45.70,2.03%,"2,369,792"
80,CAT,109.11B,16.88,13.88,0.80,2.14,6.53,-,23.30,-49.00%,18.01%,4.90%,20.97%,-2.30%,203.79,1.95%,"1,305,576"
81,CB,88.98B,10.49,12.38,0.35,2.17,1.48,54.92,8.99,-19.70%,10.38%,-2.00%,29.79%,13.50%,203.79,0.85%,"810,444"
82,CBOE,12.95B,24.49,18.73,5.21,3.70,3.68,30.89,8.87,28.20%,5.49%,11.70%,4.70%,40.10%,120.81,0.19%,"237,710"
83,CBRE,33.74B,22.87,17.23,2.08,1.29,4.14,12.19,17.10,-41.00%,6.94%,6.40%,11.00%,17.00%,99.96,1.79%,"540,216"
84,CCI,74.22B,62.69,40.20,5.06,11.71,8.50,207.89,-,31.50%,7.61%,10.30%,12.40%,9.80%,166.79,-0.47%,"988,843"
85,CCL,25.24B,-,11.34,-,13.22,1.99,2.76,-,35.90%,750.00%,-33.70%,9.95%,-35.00%,22.69,6.23%,"23,958,474"
86,CDAY,11.32B,-,111.92,-,11.06,4.74,29.89,-,-105.20%,64.91%,47.30%,12.50%,4.00%,71.12,1.68%,"651,562"
87,CDNS,41.14B,57.27,39.88,3.15,13.83,14.75,40.58,43.78,-40.10%,13.40%,21.20%,18.20%,9.50%,145.61,2.48%,"489,014"
88,CDW,24.52B,25.03,17.02,1.91,1.18,28.87,100.03,29.78,9.20%,11.46%,18.30%,13.10%,7.30%,184.41,4.72%,"608,535"
89,CE,17.26B,9.05,9.58,-,2.02,4.00,31.62,17.51,1.20%,1.97%,22.50%,-2.22%,9.60%,158.63,2.89%,"211,370"
