No,Ticker,MarketCap,PE,FwdPE,PEG,PS,PB,PC,PFCF,EPSthisY,EPSnextY,EPSpast5Y,EPSnext5Y,Salespast5Y,Price,Change,Volume
190,FITB,33.37B,12.93,12.46,-,6.40,1.65,0.88,-,-45.10%,13.72%,-1.80%,-2.98%,6.70%,49.33,2.29%,"1,881,021"
191,FLT,19.94B,24.50,13.97,1.57,7.04,6.31,15.69,21.23,-18.30%,14.48%,16.10%,15.65%,7.00%,245.70,0.41%,"262,236"
192,FMC,14.60B,26.10,13.28,3.26,3.12,4.90,42.82,42.93,8.40%,12.70%,38.80%,8.00%,7.20%,117.91,1.87%,"208,267"
193,FOX,22.74B,13.10,16.49,1.42,1.72,1.93,-,-,-,14.60%,-,9.20%,-,39.08,0.85%,"524,173"
194,FOXA,23.39B,17.41,11.68,2.90,1.72,2.15,5.50,21.68,122.80%,24.62%,15.90%,6.00%,7.70%,43.02,0.82%,"1,240,530"
195,FRC,31.49B,22.37,17.97,1.32,7.18,2.57,2.29,-,11.80%,15.80%,12.80%,16.93%,18.30%,173.56,1.04%,"566,933"
196,FRT,9.48B,39.06,43.28,5.83,10.34,3.78,58.46,131.44,100.70%,20.33%,1.30%,6.70%,3.50%,120.09,1.67%,"182,632"
197,FTI,2.89B,17.10,37.78,-,0.35,0.86,1.85,4.24,-35.90%,266.70%,-11.63%,-,2.60%,6.68,0.38%,"7,841,989"
198,FTNT,53.21B,85.43,51.73,4.88,15.92,45.37,17.05,48.01,54.70%,21.07%,129.90%,17.50%,20.80%,318.34,2.58%,"319,337"
199,FTV,23.50B,39.74,18.91,1.05,4.47,2.51,28.03,-,558.00%,10.90%,9.00%,37.89%,-5.60%,65.81,1.17%,"842,017"
200,GD,58.03B,18.28,15.13,1.67,1.51,3.33,36.20,28.32,5.00%,15.10%,6.00%,10.95%,4.70%,213.94,1.31%,"337,405"
201,GE,108.23B,-,18.28,-,1.46,2.83,3.58,1745.61,2450.00%,54.67%,38.20%,7.00%,-8.00%,101.29,4.86%,"3,919,524"
202,GILD,76.31B,12.38,9.31,165.11,2.79,3.58,13.30,15.44,-97.70%,0.57%,-61.80%,0.07%,-5.40%,61.28,0.27%,"4,994,580"
203,GIS,40.21B,18.63,17.20,4.03,2.16,4.32,39.38,31.57,6.30%,4.35%,6.40%,4.63%,1.80%,67.10,-0.78%,"1,365,191"
204,GL,10.59B,14.41,11.36,1.40,2.07,1.23,109.95,8.24,-0.10%,11.62%,10.90%,10.31%,4.70%,105.70,1.61%,"205,520"
205,GLW,35.76B,34.04,15.38,1.54,2.54,2.90,16.17,38.57,-49.80%,13.63%,-11.70%,22.14%,4.40%,42.18,2.16%,"1,512,438"
206,GM,72.50B,7.22,6.57,0.47,0.57,1.18,2.53,9.68,54.70%,5.10%,2.20%,15.20%,-3.20%,49.77,2.83%,"8,141,540"
207,GNRC,17.90B,32.59,23.36,4.07,5.22,9.51,42.24,39.60,37.20%,21.06%,37.40%,8.00%,13.50%,275.00,1.68%,"568,127"
208,GOOG,1857.57B,26.07,24.10,1.24,7.77,7.35,-,-,84.90%,3.60%,-,21.00%,-,2719.22,0.49%,"697,192"
209,GOOGL,1849.33B,24.15,20.04,1.15,7.18,7.14,13.24,27.60,91.40%,16.72%,32.10%,21.00%,23.30%,2724.37,0.51%,"751,081"
210,GPC,18.20B,22.55,17.29,4.90,0.99,5.70,19.80,19.41,-74.60%,9.44%,-24.60%,4.60%,1.60%,129.60,2.00%,"277,464"
211,GPN,42.30B,44.70,13.21,2.44,4.96,1.64,18.02,20.96,-10.10%,16.75%,-0.90%,18.31%,20.70%,143.81,-2.14%,"1,749,666"
212,GPS,6.22B,15.49,7.91,3.16,0.38,2.07,5.78,-,-308.80%,43.15%,-24.10%,4.90%,-2.70%,15.37,0.00%,"9,635,091"
213,GRMN,23.41B,20.61,19.36,2.63,4.74,3.97,11.80,41.53,3.60%,9.67%,16.70%,7.83%,8.20%,120.77,0.01%,"591,214"
214,GS,123.10B,6.07,8.67,0.51,1.89,1.30,0.58,2.07,17.70%,3.32%,15.30%,11.97%,7.40%,363.58,0.93%,"953,220"
215,GWW,24.33B,23.38,17.03,1.62,1.87,13.19,74.17,39.95,-16.60%,11.58%,2.30%,14.44%,3.40%,472.77,1.37%,"113,689"
216,HAL,28.12B,19.84,13.83,0.32,1.84,4.31,9.24,29.56,148.90%,32.88%,17.50%,62.70%,-0.80%,32.40,0.11%,"6,279,159"
217,HAS,13.12B,27.96,16.10,1.58,2.04,4.33,11.11,16.86,-60.10%,11.99%,-14.60%,17.70%,4.20%,96.69,2.25%,"550,508"
218,HBAN,22.89B,17.25,10.76,-,5.46,1.33,1.89,28.02,-45.20%,9.95%,-3.00%,-2.15%,11.50%,16.20,3.22%,"2,295,722"
219,HCA,73.97B,11.07,11.35,0.77,1.26,-,72.03,234.84,8.50%,9.46%,17.00%,14.42%,5.40%,241.77,2.70%,"606,038"
220,HD,372.14B,23.51,21.70,1.68,2.52,355.11,73.44,71.09,16.50%,4.74%,16.90%,14.00%,8.30%,353.83,0.65%,"1,458,859"
221,HES,28.18B,52.42,16.75,-,3.77,5.20,11.65,19.02,-641.90%,13.76%,0.90%,-,-6.40%,93.46,-1.34%,"2,096,538"
222,HIG,24.18B,10.49,8.80,0.90,1.08,1.37,104.22,6.83,-16.20%,16.71%,11.10%,11.71%,5.00%,71.41,2.51%,"680,613"
223,HII,7.09B,13.40,10.28,19.15,0.74,2.60,11.32,29.20,-21.30%,18.73%,2.10%,0.70%,6.10%,182.26,0.55%,"146,155"
224,HLT,43.53B,1231.14,36.94,-,8.99,-,33.79,-,-185.00%,85.90%,-24.40%,-,-9.60%,157.44,3.97%,"2,380,408"
225,HOLX,17.86B,10.56,18.34,6.21,3.25,3.94,12.57,8.19,71.00%,-25.18%,44.20%,1.70%,14.70%,70.44,0.18%,"637,202"
226,HON,131.79B,23.60,19.42,2.25,3.83,7.22,10.86,52.97,-16.30%,11.53%,2.20%,10.50%,-3.30%,189.48,1.49%,"1,305,034"
227,HPE,22.01B,6.57,7.69,0.37,0.79,1.11,5.51,8.02,3.10%,8.03%,6.70%,17.77%,-1.70%,17.43,3.35%,"3,178,774"
228,HPQ,40.36B,6.69,8.31,0.39,0.64,-,9.38,8.25,166.10%,5.33%,28.40%,17.29%,5.60%,37.31,2.18%,"3,632,493"
229,HRL,25.33B,28.59,22.48,4.03,2.22,3.69,39.90,102.78,-0.10%,7.76%,0.20%,7.10%,3.60%,47.53,0.14%,"861,628"
230,HSIC,10.53B,17.24,16.38,0.93,0.86,3.05,88.43,14.57,-40.20%,1.09%,-0.30%,18.56%,-1.00%,80.92,6.77%,"990,592"
231,HST,13.14B,-,102.46,-,6.09,2.09,11.18,-,-182.40%,152.00%,-27.70%,28.40%,-21.30%,18.57,3.57%,"5,009,285"
232,HSY,41.53B,28.60,24.06,3.23,4.63,11.71,61.48,42.39,11.90%,6.46%,21.30%,8.86%,2.00%,204.34,0.49%,"378,418"
233,HUM,54.98B,18.51,15.33,1.31,0.66,3.32,12.77,473.98,26.00%,13.42%,24.60%,14.18%,7.30%,421.71,0.49%,"404,692"
234,HWM,14.46B,58.44,18.46,1.81,2.91,4.15,19.97,1807.37,65.70%,31.95%,23.60%,32.25%,-15.80%,35.18,3.26%,"1,043,057"
235,IBM,117.45B,25.02,12.31,1.52,2.05,5.25,14.58,-,-59.10%,6.75%,-20.30%,16.50%,-7.60%,130.21,0.05%,"2,067,565"
236,ICE,70.58B,17.39,20.49,1.75,7.70,3.07,116.28,32.13,90.80%,9.16%,24.60%,9.91%,9.00%,125.62,0.62%,"927,461"
237,IDXX,43.79B,58.76,45.86,2.43,13.62,56.99,301.61,63.08,37.30%,16.30%,26.70%,24.20%,11.10%,509.30,0.75%,"221,720"
238,IEX,14.94B,32.60,25.33,2.72,5.40,5.34,18.53,43.31,-11.10%,9.80%,6.40%,12.00%,3.10%,191.94,0.14%,"249,044"
239,IFF,34.14B,103.71,19.47,18.72,4.22,1.56,50.81,69.62,-20.60%,15.55%,-9.30%,5.54%,11.00%,134.36,2.09%,"326,181"
240,ILMN,55.72B,65.32,61.74,65.32,12.31,4.73,44.05,62.05,-34.10%,26.99%,7.40%,1.00%,7.90%,340.39,3.32%,"454,597"
241,INCY,14.64B,15.45,13.97,1.03,4.90,3.87,6.24,25.76,415.00%,31.29%,51.40%,15.00%,22.00%,67.45,2.17%,"1,124,452"
242,INFO,43.99B,35.90,27.36,3.23,9.44,4.54,150.08,50.37,38.70%,11.02%,46.00%,11.12%,11.20%,109.08,1.19%,"799,141"
243,INTC,198.70B,9.79,12.77,2.90,2.51,2.03,6.99,8.73,-1.60%,5.28%,18.10%,3.38%,5.90%,48.13,1.16%,"17,689,858"
244,INTU,155.90B,69.95,38.73,4.02,15.11,14.84,47.97,59.62,9.20%,16.76%,20.00%,17.40%,15.50%,524.34,-0.89%,"1,193,274"
245,IP,17.92B,13.72,9.82,0.71,0.85,1.89,8.45,-,-81.10%,8.26%,-22.10%,19.20%,-3.20%,46.83,1.30%,"1,151,912"
246,IPG,14.22B,14.70,12.42,2.63,1.39,4.35,5.71,7.66,-46.80%,6.28%,-4.00%,5.60%,3.50%,36.24,3.31%,"1,794,717"
247,IPGP,8.22B,30.16,24.84,1.19,5.74,2.86,5.41,30.37,-11.40%,15.72%,-8.10%,25.40%,5.90%,135.88,-7.37%,"700,466"
248,IQV,46.98B,61.03,23.65,2.72,3.47,7.88,29.85,19.84,49.50%,13.79%,-14.20%,22.47%,14.60%,226.66,-5.52%,"1,765,322"
249,IR,22.76B,44.50,23.18,2.08,4.34,2.56,11.19,31.12,-111.40%,16.52%,45.70%,21.39%,18.20%,55.17,2.55%,"1,660,143"
250,IRM,12.74B,19.92,26.41,3.10,2.90,12.99,78.91,-,27.80%,10.20%,15.40%,6.44%,6.60%,44.08,0.99%,"552,734"
251,ISRG,103.89B,60.32,47.47,3.16,18.19,8.45,23.93,59.85,58.60%,18.04%,17.40%,19.11%,16.10%,288.50,2.62%,"589,619"
252,IT,23.93B,31.27,34.21,1.45,5.05,72.14,31.26,20.37,15.60%,17.68%,7.50%,21.60%,13.60%,295.14,2.27%,"249,354"
253,ITW,69.46B,25.75,21.86,2.33,4.81,19.75,34.96,74.37,-14.40%,9.56%,5.20%,11.03%,-1.30%,221.05,0.86%,"472,709"
254,IVZ,10.79B,7.62,7.14,0.48,1.56,0.96,6.08,10.98,-11.60%,8.20%,-12.90%,15.86%,3.60%,23.47,2.83%,"1,971,972"
255,J,15.96B,54.80,14.82,4.45,1.13,2.57,-,23.54,17.10%,14.63%,12.50%,12.33%,5.10%,123.21,2.11%,"254,738"
256,JBHT,20.38B,26.96,20.31,0.96,1.67,6.93,38.48,61.70,-0.60%,10.22%,5.30%,28.04%,9.30%,194.40,0.99%,"246,220"
257,JCI,48.05B,30.43,16.97,1.58,1.99,2.72,39.81,46.34,150.60%,19.45%,13.90%,19.20%,2.60%,68.06,2.35%,"2,266,097"
258,JKHY,12.34B,36.53,32.82,2.61,6.62,9.84,424.22,42.03,6.80%,8.29%,5.70%,14.00%,5.40%,169.25,-0.55%,"212,314"
259,JNJ,440.40B,21.20,15.08,3.31,4.70,6.20,14.21,37.33,-4.20%,4.41%,-0.30%,6.40%,3.30%,167.25,1.00%,"3,062,733"
260,JNPR,11.17B,44.40,15.00,4.75,2.36,2.50,8.39,34.99,-22.40%,13.56%,-13.50%,9.35%,-1.80%,34.68,2.63%,"1,236,352"
261,JPM,456.59B,9.94,12.27,0.88,7.89,1.79,0.27,-,-17.20%,11.41%,8.10%,11.30%,4.80%,155.06,1.69%,"5,439,134"
262,K,21.99B,14.95,15.01,5.43,1.55,6.34,-,66.65,32.90%,4.94%,16.60%,2.75%,0.40%,64.91,0.25%,"1,251,251"
263,KEY,24.43B,9.90,11.06,-,5.59,1.56,10.75,25.08,-21.90%,8.52%,3.50%,-1.92%,12.30%,26.53,2.41%,"3,118,501"
264,KEYS,31.10B,34.69,22.18,2.89,6.29,8.11,15.15,27.09,44.10%,8.43%,19.70%,12.00%,11.10%,169.43,2.11%,"453,362"
265,KHC,41.80B,19.31,13.27,-,1.59,0.85,18.39,33.79,-85.80%,-5.99%,24.70%,-4.17%,7.40%,34.63,0.12%,"3,457,422"
266,KIM,14.48B,15.41,30.30,3.35,10.61,1.29,29.94,79.02,181.30%,15.81%,2.40%,4.60%,-1.90%,23.88,2.47%,"3,264,827"
267,KLAC,58.09B,18.79,15.32,0.91,7.11,13.64,20.67,30.01,73.60%,15.60%,24.40%,20.70%,18.30%,384.15,5.20%,"769,521"
268,KMB,44.11B,24.70,18.61,3.00,2.27,86.52,163.36,213.08,-22.00%,20.18%,-2.20%,8.22%,1.20%,132.29,-0.06%,"547,454"
269,KMI,38.22B,22.07,15.71,-,2.30,1.27,33.53,19.27,48.90%,3.80%,25.80%,-3.62%,4.90%,17.08,-0.61%,"8,019,831"
270,KMX,18.29B,15.30,14.82,0.93,0.62,3.52,292.15,-,-15.10%,1.97%,8.30%,16.40%,4.60%,112.93,1.78%,"468,281"
271,KO,266.84B,26.91,23.04,3.72,6.90,11.81,17.95,103.31,-13.30%,7.60%,1.40%,7.23%,-5.70%,61.10,0.69%,"7,478,575"
272,KR,32.80B,34.30,13.23,5.21,0.24,3.56,14.33,14.10,60.60%,-1.60%,9.70%,6.58%,3.80%,46.50,1.77%,"2,696,904"
273,L,15.29B,10.10,-,0.72,1.04,0.86,24.62,7.36,282.60%,-,25.70%,14.03%,2.20%,61.67,0.88%,"274,210"
274,LDOS,12.09B,16.16,12.75,1.71,0.90,2.99,20.60,27.61,-5.20%,3.18%,5.80%,9.45%,21.10%,84.76,-2.98%,"1,127,655"
275,LEN,26.65B,6.33,5.30,0.27,0.98,1.31,9.12,12.35,81.30%,7.40%,29.40%,23.70%,19.90%,92.00,1.56%,"738,416"
276,LH,26.65B,11.19,14.80,-,1.65,2.50,13.09,9.40,90.00%,-4.36%,29.60%,-12.49%,10.00%,265.29,-2.71%,"1,054,983"
277,LHX,41.63B,24.15,14.94,3.89,2.34,2.25,36.98,24.87,41.10%,8.11%,1.30%,6.20%,24.90%,217.76,-0.94%,"696,341"
278,LIN,157.65B,40.06,22.44,2.31,5.12,3.41,33.54,55.88,17.40%,10.97%,-2.60%,17.32%,20.40%,302.01,2.90%,"901,530"
279,LKQ,16.02B,15.62,13.46,0.47,1.25,2.68,39.78,10.85,20.40%,3.36%,8.80%,33.50%,10.10%,55.09,2.45%,"495,350"
280,LLY,228.22B,38.29,24.40,3.61,8.06,27.42,59.66,85.14,36.90%,12.11%,24.60%,10.60%,4.20%,244.40,4.14%,"1,412,425"
281,LMT,102.52B,16.99,13.81,2.07,1.53,9.64,28.45,21.54,-7.10%,5.41%,13.50%,8.20%,7.20%,385.12,-0.48%,"1,107,261"
282,LNC,13.07B,9.60,6.81,0.27,0.68,0.63,5.00,-,-44.70%,22.30%,-12.10%,35.73%,5.00%,72.91,2.78%,"1,526,177"
283,LNT,14.18B,22.44,20.76,3.68,3.99,2.38,709.17,-,5.90%,4.02%,7.90%,6.10%,1.00%,56.63,-0.41%,"297,955"
284,LOW,153.24B,19.62,17.46,1.17,1.61,-,-,30.75,41.20%,8.23%,23.20%,16.80%,8.70%,228.90,1.31%,"922,768"
285,LRCX,82.73B,17.39,14.61,1.09,5.01,12.12,15.52,25.37,78.10%,16.03%,38.80%,15.94%,20.00%,589.04,5.52%,"675,713"
286,LUMN,10.89B,5.20,8.66,-,0.55,0.94,17.15,4.51,76.80%,-22.39%,-22.20%,-,3.00%,10.06,1.54%,"12,647,043"
287,LUV,27.47B,28.31,13.89,-,1.74,2.59,1.77,11.86,129.50%,187.93%,-14.20%,-,-4.90%,47.21,4.03%,"4,380,141"
288,LVS,36.47B,-,19.90,-,8.61,17.70,19.67,-,20.00%,374.85%,-22.10%,-1.75%,-17.80%,47.55,2.90%,"3,403,905"
289,LW,9.49B,49.57,23.44,3.95,2.44,26.15,15.26,31.69,-13.10%,78.32%,2.40%,12.55%,4.20%,66.78,2.14%,"236,058"
290,LYB,33.43B,5.83,6.54,3.76,0.81,2.83,17.33,29.35,-55.80%,1.41%,-15.00%,1.55%,-3.20%,102.11,1.96%,"622,290"
291,LYV,26.61B,-,133.72,-,7.00,-,5.75,34.66,67.00%,130.60%,22.50%,-,-23.80%,118.93,3.18%,"1,134,487"
292,MA,372.23B,42.71,29.01,1.69,19.71,50.22,47.15,50.89,37.40%,23.99%,18.90%,25.24%,11.90%,382.24,2.16%,"2,723,635"
293,MAA,24.69B,61.07,53.83,8.72,14.43,4.03,828.37,516.43,-25.90%,14.29%,-13.00%,7.00%,10.00%,209.81,1.07%,"123,365"
294,MAR,57.38B,121.17,32.68,-,4.95,61.19,74.32,94.21,-121.60%,80.63%,-17.70%,-,-6.10%,179.39,4.70%,"2,761,541"
295,MAS,13.86B,34.99,12.30,2.27,1.66,-,14.97,23.46,-46.90%,11.28%,1.90%,15.40%,2.60%,58.23,1.71%,"1,169,423"
296,MCD,190.61B,25.25,22.80,1.95,8.21,-,-,58.35,-21.00%,9.51%,5.60%,12.97%,-5.40%,255.05,0.66%,"970,429"
297,MCHP,41.58B,37.29,13.82,1.82,6.45,6.81,131.79,23.57,16.00%,14.13%,11.60%,20.50%,20.10%,74.42,4.54%,"1,321,895"
298,MCK,40.90B,30.23,11.76,2.33,0.16,-,14.85,10.18,-667.60%,-3.70%,-37.30%,12.96%,4.50%,274.52,1.42%,"488,167"
299,MCO,63.36B,27.45,23.00,2.17,10.19,24.77,27.04,33.14,26.60%,11.03%,15.20%,12.67%,9.00%,330.13,2.06%,"307,948"
300,MDLZ,91.92B,21.74,20.05,2.63,3.20,3.26,25.92,68.09,23.40%,8.48%,24.00%,8.25%,2.10%,65.98,-0.24%,"2,513,946"
301,MDT,140.09B,29.46,16.68,2.57,4.41,2.65,13.13,55.63,-26.10%,8.34%,0.80%,11.46%,0.90%,103.71,1.37%,"3,151,263"
302,MET,58.55B,9.60,8.73,1.91,0.82,0.87,3.09,5.31,-6.20%,11.12%,10.50%,5.02%,2.00%,71.69,2.22%,"1,587,446"
303,MGM,21.68B,-,30.56,-,3.32,3.13,3.89,-,-152.00%,64.90%,-19.60%,-,-10.90%,44.94,0.64%,"2,800,609"
304,MHK,10.28B,9.23,8.27,0.42,0.93,1.13,9.11,8.96,-29.90%,12.90%,-2.80%,22.10%,3.40%,149.52,3.96%,"426,221"
305,MKC,26.78B,35.87,29.44,4.98,4.24,6.09,76.15,143.22,0.80%,7.23%,8.70%,7.20%,7.40%,100.37,-0.03%,"420,614"
306,MKTX,13.78B,54.72,44.46,3.82,19.71,13.17,31.84,96.95,45.40%,12.39%,25.20%,14.34%,17.90%,381.51,3.02%,"100,388"
307,MLM,23.50B,32.90,21.46,1.83,4.34,3.62,9.87,40.62,18.50%,22.18%,21.90%,17.97%,6.00%,384.62,4.22%,"229,398"
308,MMC,77.25B,24.75,20.44,3.21,3.90,7.89,55.26,33.59,15.50%,10.63%,5.70%,7.70%,6.00%,153.42,1.13%,"741,093"
309,MMM,90.35B,15.62,14.27,2.09,2.56,6.04,18.96,37.17,8.10%,6.92%,4.40%,7.47%,3.30%,157.96,-0.03%,"1,750,442"
310,MNST,44.23B,28.92,28.10,2.08,8.33,6.99,15.06,33.82,30.00%,13.57%,22.70%,13.92%,11.10%,82.45,-0.15%,"2,353,628"
311,MO,91.67B,20.37,9.74,3.80,3.47,-,31.00,-,470.60%,6.11%,-2.00%,5.36%,0.60%,50.30,0.42%,"2,721,753"
312,MOS,16.57B,9.60,5.80,1.37,1.51,1.63,19.66,28.10,160.60%,48.14%,-9.50%,7.00%,-0.50%,45.63,2.26%,"4,122,875"
313,MPC,47.86B,37.97,15.16,1.26,0.40,1.77,3.62,32.23,-716.80%,5.73%,-39.20%,30.11%,-0.60%,78.92,-0.30%,"2,604,238"
314,MRK,192.96B,15.72,10.68,1.64,3.96,5.40,-,-,-28.00%,-1.78%,12.20%,9.57%,4.00%,77.74,1.66%,"6,228,084"
315,MRNA,57.44B,8.75,5.03,0.52,4.86,5.69,6.45,5.04,-26.10%,6.47%,-,16.80%,-,149.66,5.05%,"8,237,499"
316,MRO,15.92B,-,9.74,-,3.55,1.55,-,11.64,-409.20%,64.05%,6.10%,-2.40%,-8.60%,20.55,-3.11%,"14,712,959"
317,MS,189.33B,12.77,12.08,1.72,3.10,1.86,1.53,-,24.60%,11.56%,17.30%,7.44%,6.60%,103.70,1.10%,"3,859,462"
318,MSCI,44.83B,61.29,40.03,4.41,21.94,-,34.90,74.86,6.90%,16.83%,27.50%,13.90%,9.50%,542.64,1.81%,"204,058"
319,MSFT,2266.60B,31.39,27.37,1.80,12.26,13.84,18.08,52.23,39.70%,15.33%,25.70%,17.40%,13.00%,298.91,1.33%,"14,709,564"
320,MSI,37.09B,29.83,19.27,2.09,4.54,-,22.44,31.84,10.30%,12.58%,11.40%,14.28%,5.40%,221.17,3.44%,"852,212"
321,MTB,23.32B,13.87,12.43,2.73,5.79,1.47,0.57,15.55,-27.70%,29.24%,6.70%,5.08%,5.70%,183.55,1.74%,"291,563"
322,MTCH,32.68B,137.08,34.36,8.57,10.95,-,62.46,40.82,5.00%,27.54%,23.50%,16.00%,21.30%,117.48,3.25%,"743,774"
323,MTD,34.62B,44.39,33.32,2.49,9.57,205.23,188.48,44.53,10.90%,12.15%,14.80%,17.80%,5.20%,1437.93,1.54%,"53,906"
324,MU,102.04B,13.90,7.72,0.58,3.44,2.19,10.65,27.07,116.20%,29.77%,84.30%,23.80%,17.40%,94.60,5.27%,"16,451,141"
325,NCLH,9.28B,-,-,-,54.56,2.71,4.80,-,-466.60%,99.70%,-60.00%,-,-21.70%,22.44,6.40%,"13,862,442"
326,NDAQ,29.55B,24.38,20.36,2.40,5.02,4.54,60.56,80.75,20.60%,7.31%,17.50%,10.18%,10.60%,174.92,1.74%,"324,719"
327,NEE,147.96B,41.37,24.83,4.51,8.67,4.01,213.82,32.07,-23.10%,8.06%,0.20%,9.17%,0.60%,75.35,0.57%,"4,555,630"
328,NEM,48.64B,26.18,20.38,-,3.98,2.26,10.15,34.37,-15.30%,7.31%,-,-,13.60%,63.27,-1.68%,"3,596,290"
329,NFLX,182.79B,37.14,27.85,2.20,6.16,11.10,30.33,-,81.30%,29.84%,90.50%,16.86%,27.50%,407.10,2.65%,"3,157,282"
330,NI,11.06B,25.30,19.59,7.19,2.35,2.34,287.17,15.46,-121.70%,6.93%,-18.40%,3.52%,0.10%,28.53,0.42%,"1,942,044"
331,NKE,231.31B,37.12,29.49,2.33,5.00,15.01,15.32,49.06,123.10%,29.64%,10.50%,15.96%,6.60%,146.01,3.12%,"2,831,410"
332,NLOK,17.44B,18.84,15.54,1.52,6.34,-,9.79,25.06,29.00%,9.15%,24.10%,12.40%,-6.70%,28.96,-1.76%,"1,916,730"
333,NLSN,6.61B,18.80,9.92,3.55,1.55,2.08,12.20,11.25,98.60%,5.91%,-15.00%,5.30%,0.40%,18.46,2.84%,"982,828"
334,NOC,58.33B,8.96,14.46,1.87,1.64,4.75,16.52,49.90,128.80%,8.73%,30.90%,4.80%,7.60%,386.41,-1.07%,"390,631"
335,NOW,121.22B,511.09,62.09,19.58,20.56,31.26,36.69,67.38,93.40%,26.49%,19.60%,26.10%,33.50%,587.11,1.30%,"529,302"
336,NRG,9.58B,3.89,11.25,0.10,0.44,2.32,36.97,5.60,-86.70%,-63.53%,16.10%,37.90%,-5.90%,38.86,0.46%,"554,492"
337,NSC,66.53B,22.46,17.84,1.70,5.97,4.83,79.30,37.87,54.50%,10.04%,16.60%,13.18%,2.40%,275.80,1.30%,"487,341"
338,NTAP,19.73B,21.30,15.85,2.42,3.26,25.82,4.34,22.73,-8.10%,9.49%,33.20%,8.80%,0.70%,90.21,2.76%,"613,797"
339,NTRS,25.66B,17.03,13.43,1.29,3.99,2.30,6.12,-,-17.60%,18.15%,6.50%,13.16%,5.20%,125.34,3.15%,"312,750"
340,NUE,34.44B,9.22,15.80,0.24,1.23,2.54,17.12,33.39,-42.90%,-61.46%,57.10%,37.75%,4.10%,121.63,3.65%,"962,856"
341,NVDA,654.17B,74.92,47.05,1.90,26.95,25.49,33.90,96.79,52.50%,18.71%,44.90%,39.37%,27.20%,262.92,8.34%,"48,664,252"
342,NVR,17.77B,15.50,10.23,3.23,1.98,5.88,6.57,16.75,4.10%,8.64%,20.70%,4.80%,7.90%,5032.04,1.09%,"45,522"
343,NWL,9.54B,17.65,12.12,4.18,0.91,2.61,19.32,13.56,-513.60%,10.12%,-31.30%,4.22%,9.70%,25.86,3.79%,"2,960,492"
344,NWS,13.30B,27.23,-,-,1.36,1.63,-,-,-,-,-,-,-,23.33,3.23%,"157,596"
345,NWSA,13.52B,26.71,19.22,1.27,1.35,1.57,6.19,16.49,125.80%,20.60%,14.90%,21.06%,2.40%,23.00,3.25%,"2,038,405"
346,NXPI,52.69B,27.24,13.51,1.62,4.76,7.35,22.88,26.61,-78.40%,6.77%,-50.40%,16.83%,7.10%,194.13,4.44%,"1,091,044"
347,O,37.71B,52.88,39.00,9.70,20.75,1.97,72.93,170.78,-17.10%,26.94%,1.10%,5.45%,10.00%,67.54,0.97%,"1,478,379"
348,ODFL,35.12B,33.06,24.51,1.14,6.68,9.92,62.20,65.96,11.20%,10.85%,19.00%,28.91%,6.20%,297.57,1.23%,"288,113"
349,OGN,8.65B,6.10,5.99,-,1.10,-,8.58,3.37,-32.90%,-10.92%,-,-5.50%,-,35.12,2.15%,"1,120,495"
350,OKE,27.41B,19.71,16.63,2.00,2.00,4.81,122.20,-,-53.90%,11.20%,3.50%,9.86%,1.90%,62.58,-0.54%,"1,012,641"
351,OMC,18.03B,13.28,12.00,1.25,1.26,5.50,-,26.24,45.80%,7.23%,6.00%,10.60%,-1.50%,86.00,1.49%,"785,301"
352,ORCL,221.51B,22.92,15.03,2.38,5.35,-,9.70,58.71,47.80%,8.87%,17.10%,9.64%,1.80%,79.67,0.91%,"2,935,068"
353,ORLY,43.89B,21.25,18.22,1.28,3.29,-,97.68,17.23,31.60%,12.08%,20.70%,16.60%,7.80%,675.97,2.26%,"335,013"
354,OTIS,34.70B,27.61,21.63,2.36,2.43,-,22.17,28.90,38.50%,12.27%,-,11.68%,-,79.50,-0.31%,"1,863,962"
355,OXY,36.45B,-,11.57,-,1.63,4.23,17.70,5.89,155.00%,63.94%,-8.00%,37.40%,7.30%,39.61,-3.92%,"16,501,244"
356,PAYC,21.63B,119.30,49.80,4.70,23.22,24.26,93.68,133.78,-20.40%,26.40%,47.10%,25.40%,30.20%,347.30,0.46%,"153,814"
357,PAYX,43.27B,33.60,30.36,2.72,9.99,13.70,42.75,100.02,-0.40%,7.58%,7.70%,12.37%,6.60%,119.73,1.06%,"681,929"
358,PBCT,8.91B,14.89,16.91,1.39,5.56,1.16,1.06,10.44,-61.80%,1.83%,-10.80%,10.74%,11.20%,21.12,1.93%,"1,563,441"
359,PCAR,32.34B,17.49,11.70,0.76,1.37,2.85,8.56,24.50,-45.60%,14.15%,-3.70%,23.11%,-0.40%,95.03,2.20%,"586,432"
360,PEAK,17.16B,150.70,65.24,51.97,9.05,2.66,108.42,-,-20.10%,29.13%,-22.50%,2.90%,-2.30%,32.15,0.17%,"1,539,485"
361,PEG,32.70B,-,18.58,-,3.61,2.32,18.06,-,12.50%,-3.99%,2.60%,3.30%,-1.60%,64.88,0.17%,"1,578,752"
362,PENN,8.34B,21.35,18.71,-,1.56,2.45,3.06,9.85,154.60%,31.63%,36.33%,-,4.70%,49.78,4.12%,"1,746,529"
363,PEP,230.20B,29.65,22.92,3.83,2.90,14.40,38.44,195.75,9.90%,8.38%,5.20%,7.75%,4.80%,166.23,-0.28%,"1,827,047"
